Age,Credit_Score,Account_Balence,Credit_Card_Holter,Dependents,Employment_Type,Applicant_Income,Coapplicant_Income,Loan_Status,Education_Status,Fidelity_Scores
36,331,8119,1,0,Self_Employed,184519,149459,0,Non-Graduated,39
94,388,63239,0,1,Self_Employed,123351,109040,0,Graduated,81
55,366,229745,1,1,Self_Employed,143536,13635,1,Graduated,93
88,333,393994,1,1,Employed,158119,120621,0,Graduated,69
85,496,664909,0,1,Self_Employed,77913,168805,1,Non-Graduated,66
29,497,931766,0,1,Self_Employed,80042,53768,1,Graduated,89
78,384,860565,1,2,Self_Employed,188424,196830,0,Graduated,25
73,368,451145,0,0,Employed,102622,149982,0,Non-Graduated,49
100,309,484802,0,1,Self_Employed,199900,65718,1,Non-Graduated,80
38,331,758208,0,2,Employed,36785,78701,0,Graduated,30
67,398,719577,1,1,Self_Employed,146475,54952,0,Graduated,36
57,436,483366,1,1,Self_Employed,137856,61151,1,Non-Graduated,42
64,497,210221,1,1,Employed,58847,49544,1,Non-Graduated,62
80,338,877881,0,0,Employed,82187,159993,1,Non-Graduated,62
96,338,651271,1,0,Employed,167346,24424,1,Non-Graduated,62
64,314,507536,1,1,Self_Employed,64075,192302,0,Non-Graduated,35
22,407,644422,1,2,Self_Employed,134761,88247,0,Non-Graduated,33
25,443,522003,1,0,Employed,171061,22365,1,Graduated,59
79,453,583950,1,2,Employed,73573,57055,0,Graduated,46
42,483,448181,0,2,Self_Employed,24895,167841,1,Non-Graduated,43
30,438,459811,1,0,Self_Employed,74232,133634,1,Graduated,72
60,408,651597,1,0,Employed,46194,182933,0,Graduated,100
50,344,428190,0,0,Employed,154080,41018,1,Graduated,47
78,494,160446,0,0,Employed,170116,153589,1,Non-Graduated,32
89,405,326661,1,2,Employed,123304,164365,0,Graduated,80
60,398,411412,0,0,Self_Employed,170859,147537,1,Non-Graduated,63
82,349,872188,0,0,Employed,73750,53329,1,Graduated,23
86,374,621243,1,0,Self_Employed,175906,142820,0,Non-Graduated,29
77,441,513267,1,1,Employed,38709,138658,1,Graduated,69
96,307,657521,0,2,Employed,157230,69759,0,Non-Graduated,28
31,401,785408,1,0,Self_Employed,150684,192571,0,Non-Graduated,37
71,422,288093,0,2,Employed,90197,177624,1,Graduated,34
48,464,326851,1,2,Self_Employed,11645,72736,0,Graduated,56
43,389,441683,1,2,Self_Employed,50196,56606,1,Non-Graduated,80
92,381,552278,0,1,Employed,70395,185856,1,Non-Graduated,49
30,418,493683,1,1,Employed,103655,108271,1,Non-Graduated,56
74,400,183251,0,1,Employed,79833,79913,0,Non-Graduated,46
82,432,968729,1,0,Self_Employed,51227,160802,1,Graduated,24
92,418,889254,0,2,Employed,71723,162039,1,Graduated,51
26,362,768532,1,1,Employed,109503,194669,1,Graduated,60
85,417,882763,0,1,Employed,111933,179705,1,Graduated,22
58,399,785686,0,2,Self_Employed,131807,91926,1,Graduated,87
76,379,657322,1,1,Employed,33093,149857,0,Graduated,49
39,322,730348,1,2,Employed,94364,118482,1,Graduated,23
57,465,119897,1,1,Self_Employed,96369,113708,0,Graduated,42
79,442,815288,0,0,Self_Employed,43935,130488,0,Non-Graduated,45
86,433,478765,1,1,Self_Employed,43872,46930,0,Graduated,94
33,433,92492,0,2,Self_Employed,66346,95809,1,Graduated,69
25,429,157611,1,0,Employed,47156,35110,1,Graduated,66
89,410,943893,0,2,Self_Employed,120033,35647,1,Non-Graduated,67
44,408,795729,0,1,Employed,179673,135536,0,Non-Graduated,96
51,347,720713,1,1,Employed,89241,131301,0,Non-Graduated,22
77,337,743082,0,2,Employed,41902,173114,1,Non-Graduated,69
65,493,102657,0,0,Employed,73325,52879,1,Graduated,88
67,311,595018,0,2,Employed,165481,189271,0,Non-Graduated,76
44,303,457304,1,2,Employed,99266,22551,1,Graduated,55
63,370,862384,1,0,Self_Employed,107424,159871,1,Graduated,38
87,458,215958,0,1,Self_Employed,187643,138690,1,Non-Graduated,30
88,331,628860,1,0,Self_Employed,99164,71226,0,Non-Graduated,58
21,333,7171,1,1,Employed,20354,182341,1,Graduated,41
43,349,922563,1,0,Employed,104572,41737,0,Non-Graduated,91
88,373,560498,0,0,Employed,119557,39756,1,Non-Graduated,53
95,475,732188,0,1,Self_Employed,106635,155688,1,Graduated,38
80,481,737352,1,0,Employed,144311,183454,0,Non-Graduated,54
49,390,184793,1,2,Self_Employed,94301,140504,0,Non-Graduated,35
41,312,895688,0,0,Employed,173650,10100,0,Graduated,24
83,303,571881,1,2,Employed,109350,99387,0,Graduated,80
29,498,620075,1,0,Self_Employed,197749,28901,0,Non-Graduated,94
87,402,254046,1,0,Self_Employed,126683,124299,1,Non-Graduated,99
24,395,332577,1,2,Employed,75914,98994,1,Graduated,100
77,497,313173,0,2,Self_Employed,127443,18572,1,Graduated,53
47,338,721147,0,1,Self_Employed,58001,32773,0,Graduated,85
67,412,136257,0,0,Employed,61438,148213,0,Graduated,64
76,323,121699,1,2,Self_Employed,162479,21527,1,Non-Graduated,60
40,373,740651,0,1,Self_Employed,144239,89800,1,Non-Graduated,23
67,344,842385,0,2,Self_Employed,28616,75178,0,Graduated,20
81,351,298541,0,0,Employed,40310,158188,0,Graduated,51
53,353,843027,0,1,Self_Employed,125944,131972,0,Non-Graduated,52
81,323,759486,1,0,Self_Employed,138799,47253,1,Non-Graduated,72
95,409,246822,0,0,Employed,18300,46248,0,Graduated,53
66,345,797322,0,2,Self_Employed,156353,138928,1,Non-Graduated,64
74,442,275654,0,0,Self_Employed,174743,140631,1,Graduated,46
22,443,80473,1,1,Self_Employed,120930,185723,1,Non-Graduated,70
90,394,376206,0,2,Self_Employed,20971,78171,1,Non-Graduated,73
38,367,436826,0,0,Self_Employed,87800,83263,1,Graduated,23
19,433,31934,1,0,Self_Employed,116275,187216,0,Non-Graduated,84
34,428,54608,0,0,Employed,32583,106779,1,Non-Graduated,70
81,438,441915,0,2,Self_Employed,29621,53094,1,Non-Graduated,77
28,473,615916,1,2,Employed,159887,186730,0,Non-Graduated,41
62,339,968180,0,1,Employed,112499,113541,1,Graduated,86
96,468,656329,1,0,Employed,33866,179231,1,Graduated,33
19,420,384082,1,0,Employed,93439,105804,0,Non-Graduated,23
52,381,968283,1,0,Self_Employed,146755,30261,0,Graduated,29
48,326,875402,1,1,Self_Employed,75688,83944,0,Graduated,75
55,361,657407,1,1,Self_Employed,156815,92982,0,Non-Graduated,77
27,301,484504,1,1,Self_Employed,117812,53317,1,Non-Graduated,34
67,401,8787,1,1,Employed,126449,181444,0,Graduated,54
37,398,342603,1,1,Employed,125665,189322,1,Non-Graduated,62
54,312,825130,0,2,Self_Employed,79783,174963,1,Non-Graduated,34
100,474,475943,0,0,Employed,175054,178464,1,Non-Graduated,58
30,327,752706,1,2,Self_Employed,69587,123270,0,Non-Graduated,61
68,480,68693,1,0,Employed,54706,183986,0,Non-Graduated,71
71,437,869402,1,1,Self_Employed,92547,18491,1,Graduated,90
75,461,653565,1,0,Self_Employed,65222,112009,1,Non-Graduated,100
87,343,660163,0,2,Employed,149301,121637,0,Non-Graduated,53
27,450,533058,1,2,Employed,42606,33013,0,Non-Graduated,31
68,330,55028,0,2,Self_Employed,133343,116772,0,Non-Graduated,86
18,419,246681,1,0,Employed,42433,106013,1,Non-Graduated,97
31,438,428547,1,2,Employed,91487,71247,0,Graduated,41
87,458,442942,0,2,Employed,161922,53351,0,Non-Graduated,69
30,497,521221,1,0,Self_Employed,79144,66041,1,Non-Graduated,70
19,337,801438,0,1,Self_Employed,71013,27645,1,Non-Graduated,49
42,367,304213,1,1,Self_Employed,196670,114552,1,Non-Graduated,20
64,386,236695,0,1,Self_Employed,65591,166468,1,Non-Graduated,72
45,366,756078,1,2,Self_Employed,57343,189293,1,Graduated,95
41,407,575211,1,0,Self_Employed,199850,124085,1,Non-Graduated,86
23,360,316511,1,2,Self_Employed,10329,52314,1,Graduated,25
84,416,231028,0,1,Self_Employed,49329,104176,0,Non-Graduated,68
28,456,197417,0,2,Self_Employed,45706,154365,1,Graduated,31
37,369,81727,1,1,Self_Employed,152503,152857,0,Non-Graduated,86
95,475,120422,0,2,Self_Employed,82714,172195,0,Non-Graduated,37
49,387,315124,0,2,Employed,157247,190766,1,Non-Graduated,86
33,431,277925,1,0,Employed,194583,115851,0,Graduated,33
97,498,944824,1,1,Employed,144729,199572,1,Non-Graduated,62
72,379,743280,1,2,Self_Employed,21691,41692,0,Graduated,61
81,473,552144,0,0,Employed,36659,148035,1,Non-Graduated,50
43,355,886672,1,0,Self_Employed,87296,125515,1,Graduated,38
62,335,751402,1,1,Employed,133660,166413,0,Non-Graduated,23
89,499,350693,0,0,Employed,89487,62181,0,Non-Graduated,94
22,418,432874,0,0,Employed,151512,57804,1,Non-Graduated,39
38,403,970947,1,2,Employed,179775,89235,0,Graduated,80
47,500,427162,1,2,Employed,77558,91438,0,Graduated,100
76,423,185161,0,2,Employed,191645,13167,1,Non-Graduated,30
42,480,79701,1,2,Self_Employed,146200,134202,1,Graduated,77
64,459,352080,1,0,Employed,70636,120945,0,Non-Graduated,28
77,343,41395,1,0,Employed,91554,40533,1,Graduated,66
28,363,989692,1,0,Employed,38842,113052,1,Graduated,44
87,443,96759,1,0,Employed,71058,97076,1,Non-Graduated,71
80,331,14683,1,2,Employed,134888,150575,1,Graduated,59
71,403,764338,1,2,Self_Employed,163148,174600,1,Graduated,39
30,321,127084,1,2,Employed,74988,61585,1,Graduated,24
77,481,987986,1,1,Self_Employed,179633,32584,0,Graduated,88
96,331,752007,1,1,Employed,34520,73493,0,Non-Graduated,43
67,389,847880,1,1,Self_Employed,59293,163827,1,Graduated,57
46,324,903119,1,2,Employed,191795,105031,1,Non-Graduated,27
81,438,392060,1,0,Employed,67652,188794,1,Graduated,48
29,489,117985,0,1,Self_Employed,35759,110606,0,Graduated,97
55,441,36496,0,1,Self_Employed,68399,172461,0,Graduated,61
100,320,71593,0,1,Self_Employed,141914,82167,1,Non-Graduated,80
24,349,674044,0,1,Self_Employed,56266,177708,1,Graduated,55
90,469,65061,0,2,Employed,171671,140683,1,Graduated,20
45,386,200622,0,1,Self_Employed,188202,69623,0,Non-Graduated,26
39,446,751088,0,1,Employed,196167,84059,1,Graduated,77
89,308,336251,0,0,Self_Employed,60103,12667,1,Graduated,34
70,397,84308,1,1,Self_Employed,158788,142961,0,Graduated,69
86,336,837442,1,0,Employed,89031,59674,0,Graduated,48
43,353,85095,0,2,Self_Employed,122093,71114,0,Non-Graduated,59
73,322,538302,1,1,Employed,17385,154480,0,Graduated,20
90,440,118546,1,0,Employed,183327,86079,1,Graduated,48
74,446,257249,0,0,Employed,159892,124307,1,Non-Graduated,50
28,496,359539,1,2,Self_Employed,33659,102535,1,Non-Graduated,38
89,412,926509,1,2,Self_Employed,175909,34528,1,Graduated,61
68,463,21424,1,2,Employed,190585,118690,0,Graduated,93
56,488,762217,1,2,Self_Employed,188533,169632,1,Non-Graduated,77
32,409,97592,1,0,Self_Employed,56609,175347,0,Graduated,85
76,407,990310,1,1,Self_Employed,77662,74894,0,Non-Graduated,61
38,305,350455,1,1,Employed,92186,118687,0,Graduated,46
81,409,799179,1,1,Employed,53580,28790,1,Graduated,86
87,376,38163,0,0,Self_Employed,197954,185870,1,Graduated,95
90,353,348166,1,2,Employed,68136,23347,0,Non-Graduated,40
64,432,341298,0,0,Employed,188641,151899,0,Non-Graduated,47
50,465,337249,1,1,Employed,92495,86458,0,Non-Graduated,41
42,305,540883,0,1,Self_Employed,51201,12171,1,Non-Graduated,47
20,496,52474,0,2,Employed,42169,145502,0,Non-Graduated,83
45,478,550089,1,2,Self_Employed,18045,66088,1,Graduated,41
46,323,662309,0,1,Self_Employed,173366,29131,1,Graduated,77
18,314,543672,0,2,Self_Employed,67849,28953,0,Graduated,77
59,422,959840,1,1,Employed,71781,51299,0,Graduated,55
71,484,711838,1,0,Self_Employed,91299,144872,0,Non-Graduated,96
86,315,199709,1,0,Employed,143900,34434,0,Non-Graduated,36
26,415,665791,1,2,Self_Employed,182183,182063,0,Graduated,36
63,336,142387,0,0,Self_Employed,50994,177252,0,Non-Graduated,55
52,461,791433,0,0,Self_Employed,44075,152196,0,Graduated,39
51,310,501994,1,0,Self_Employed,16159,198364,1,Non-Graduated,99
20,382,550194,0,0,Self_Employed,87301,155697,0,Graduated,52
47,334,960662,0,2,Employed,185704,125806,0,Graduated,49
18,484,218749,0,1,Employed,186150,89500,0,Graduated,89
72,453,144878,1,1,Self_Employed,165433,59479,0,Graduated,85
45,405,825717,0,1,Self_Employed,198964,174724,1,Non-Graduated,71
26,335,251233,1,2,Self_Employed,74084,142033,0,Non-Graduated,86
95,312,939935,1,1,Self_Employed,95180,162382,0,Graduated,39
100,377,825327,0,2,Self_Employed,111568,58694,0,Graduated,94
45,455,721677,0,0,Employed,32490,80553,1,Non-Graduated,60
73,380,835566,0,0,Self_Employed,183889,193110,0,Non-Graduated,88
20,386,122572,1,2,Employed,155153,181389,1,Graduated,27
90,357,132717,1,0,Self_Employed,139660,79195,0,Graduated,93
90,429,892678,0,0,Employed,110778,130137,0,Graduated,62
99,429,996317,1,1,Self_Employed,88499,24172,0,Non-Graduated,46
30,423,582851,1,1,Self_Employed,118801,191225,0,Non-Graduated,29
61,473,166692,0,1,Self_Employed,161798,85094,1,Graduated,55
36,417,782578,1,1,Employed,158344,84711,1,Graduated,97
38,364,621507,0,1,Employed,125748,74079,1,Non-Graduated,43
36,388,515343,1,0,Self_Employed,54438,199409,1,Non-Graduated,61
46,314,977593,1,2,Self_Employed,145126,157613,0,Non-Graduated,75
98,484,948507,1,2,Employed,47432,112033,0,Graduated,52
93,443,135427,1,0,Employed,130167,14615,0,Non-Graduated,93
87,315,135214,0,0,Self_Employed,123106,161822,1,Graduated,44
95,467,789119,1,0,Self_Employed,129368,164901,0,Non-Graduated,38
20,312,490312,0,1,Employed,129279,151256,0,Non-Graduated,100
37,430,226515,1,0,Self_Employed,177269,115101,1,Non-Graduated,54
69,408,18089,1,2,Employed,120442,57110,0,Non-Graduated,22
54,335,522945,0,1,Employed,24243,21109,1,Graduated,61
63,353,105862,1,0,Self_Employed,63537,22219,0,Graduated,34
23,320,37371,1,2,Employed,87599,50815,1,Graduated,92
31,445,169763,0,2,Self_Employed,15023,141182,0,Graduated,42
50,315,901175,0,0,Employed,15981,196477,0,Non-Graduated,51
64,431,986082,0,2,Self_Employed,82221,53498,0,Graduated,53
35,495,164710,1,1,Employed,60391,149114,0,Graduated,88
62,403,875782,1,0,Employed,114918,10309,1,Graduated,91
77,377,38610,0,1,Self_Employed,147064,48689,1,Graduated,70
68,457,304520,1,0,Employed,124968,169187,0,Graduated,86
18,389,432168,1,2,Self_Employed,76028,38023,1,Graduated,72
26,415,424314,1,2,Employed,21239,109723,1,Non-Graduated,48
94,460,935401,0,0,Employed,195994,116593,1,Graduated,90
45,361,751509,0,0,Self_Employed,124675,45099,1,Non-Graduated,38
94,329,299765,1,0,Employed,191927,195748,1,Graduated,58
20,471,200398,1,1,Employed,73104,27876,1,Non-Graduated,71
90,322,762424,1,1,Employed,164740,120043,1,Non-Graduated,91
28,381,373903,0,1,Employed,190844,101996,1,Graduated,77
92,499,738968,1,0,Employed,120091,56203,1,Non-Graduated,92
90,347,73824,0,0,Self_Employed,25152,95059,1,Graduated,52
87,466,543532,1,1,Employed,89834,12532,0,Graduated,98
28,439,33838,0,1,Employed,111654,103714,1,Non-Graduated,68
38,477,436897,0,2,Self_Employed,32687,86902,1,Graduated,81
96,309,172244,0,0,Self_Employed,126149,31026,1,Graduated,41
34,428,471495,1,0,Self_Employed,143667,196050,1,Graduated,82
83,327,453661,1,1,Self_Employed,159660,162037,1,Graduated,80
68,487,902457,0,0,Self_Employed,188606,155886,0,Non-Graduated,53
60,354,532703,0,0,Employed,167423,40736,1,Non-Graduated,48
70,334,917318,0,1,Self_Employed,48210,39649,1,Non-Graduated,86
81,479,513973,1,2,Employed,126471,118394,1,Non-Graduated,53
83,457,374543,0,1,Self_Employed,121760,169238,1,Non-Graduated,40
31,424,351929,1,1,Self_Employed,76277,33833,1,Graduated,54
67,444,380233,0,0,Employed,177320,195707,1,Graduated,28
96,492,128315,0,0,Employed,104746,116189,1,Graduated,88
19,311,531705,0,0,Self_Employed,50642,194871,1,Graduated,51
100,457,572581,1,0,Employed,17160,56940,0,Non-Graduated,94
57,322,364409,1,1,Self_Employed,97087,96220,1,Graduated,20
71,372,259373,1,0,Self_Employed,113884,26432,1,Non-Graduated,34
56,305,193352,1,2,Employed,150504,43806,1,Graduated,92
88,364,929833,0,1,Self_Employed,87091,25832,1,Non-Graduated,38
46,388,292445,1,2,Self_Employed,115768,179044,0,Graduated,89
49,409,199076,0,1,Employed,150627,63429,0,Graduated,24
59,465,304599,0,1,Self_Employed,24365,124510,0,Graduated,64
30,410,898112,0,2,Employed,115014,183733,0,Graduated,93
55,436,509629,0,0,Employed,141804,128519,1,Non-Graduated,29
97,313,307655,1,0,Self_Employed,127945,198087,1,Non-Graduated,31
32,410,101047,0,2,Employed,144872,195845,0,Graduated,82
29,389,327996,0,0,Employed,82089,136782,1,Non-Graduated,46
87,374,382046,1,0,Employed,175870,107587,0,Graduated,85
43,393,488425,1,2,Self_Employed,113386,24256,0,Non-Graduated,81
98,317,199061,0,1,Self_Employed,44714,187016,0,Graduated,51
94,441,386912,1,0,Employed,148982,130243,0,Graduated,49
42,446,675053,1,1,Employed,106668,96169,1,Non-Graduated,62
41,500,354281,1,1,Employed,38292,155968,1,Non-Graduated,63
67,466,166364,0,0,Employed,184707,151017,1,Graduated,34
70,352,988502,1,1,Self_Employed,44367,73141,1,Non-Graduated,75
41,335,66455,0,0,Self_Employed,46336,92243,0,Non-Graduated,68
55,475,26822,1,2,Self_Employed,127707,18181,0,Non-Graduated,80
36,482,168793,0,2,Self_Employed,189187,79537,0,Graduated,33
22,458,758852,0,2,Self_Employed,61921,133697,0,Graduated,28
50,325,486390,0,0,Employed,59680,56323,0,Graduated,71
71,497,829112,1,0,Self_Employed,112186,176817,1,Graduated,94
18,480,452125,1,2,Employed,34864,89701,1,Graduated,24
94,397,625437,0,0,Employed,120685,148926,0,Graduated,20
69,443,779724,0,2,Employed,127924,103723,0,Non-Graduated,61
90,437,684099,1,1,Self_Employed,12298,117925,0,Graduated,61
29,393,275513,1,2,Employed,175146,172270,1,Non-Graduated,56
43,307,475005,1,2,Employed,49349,197048,0,Graduated,45
97,366,636932,1,1,Employed,172553,39678,1,Graduated,81
93,352,307858,1,0,Self_Employed,100637,57837,1,Graduated,33
19,358,437677,1,0,Employed,111926,135404,1,Graduated,93
71,367,838100,0,2,Self_Employed,137216,124494,1,Non-Graduated,55
88,300,990396,1,1,Self_Employed,32661,109768,0,Non-Graduated,26
23,334,742327,1,2,Self_Employed,165077,182185,0,Non-Graduated,32
33,447,389924,0,2,Employed,22476,84746,1,Graduated,38
24,367,947025,1,0,Self_Employed,168408,137152,0,Graduated,49
61,313,366739,0,2,Employed,123379,120218,1,Graduated,36
79,379,953284,0,2,Employed,84123,111601,0,Non-Graduated,44
76,445,605908,0,1,Employed,105501,46539,1,Non-Graduated,36
32,475,852725,0,2,Employed,156099,105293,0,Non-Graduated,60
20,488,224394,1,2,Self_Employed,199489,166446,1,Graduated,96
61,349,693019,1,1,Self_Employed,71670,165469,1,Graduated,65
51,384,718630,1,2,Employed,87528,183177,0,Non-Graduated,42
88,312,563906,0,1,Employed,51981,141493,1,Graduated,79
89,422,758487,1,1,Employed,81966,61267,1,Graduated,41
63,432,363352,0,1,Self_Employed,103702,28308,0,Graduated,31
25,471,570095,1,0,Employed,166855,60249,0,Non-Graduated,74
80,483,532150,1,0,Self_Employed,90276,109936,1,Non-Graduated,26
87,466,363372,0,2,Self_Employed,151221,188227,1,Non-Graduated,26
43,367,693899,1,1,Employed,56183,46783,1,Non-Graduated,75
56,331,876926,1,2,Employed,22425,57483,1,Graduated,80
100,424,885608,1,2,Employed,193447,127255,1,Graduated,54
60,472,29958,1,1,Employed,165707,30905,1,Graduated,22
69,312,890819,0,1,Self_Employed,147520,109356,1,Graduated,97
86,369,233305,0,2,Self_Employed,113388,137268,1,Non-Graduated,95
27,353,547078,1,0,Employed,62122,101951,0,Non-Graduated,88
83,450,679164,0,2,Self_Employed,44233,172744,0,Graduated,85
66,317,762992,1,2,Employed,144425,132968,1,Non-Graduated,29
60,340,201164,1,1,Self_Employed,133352,173910,1,Non-Graduated,91
89,494,40094,1,1,Employed,128346,62101,1,Non-Graduated,70
56,500,764020,0,2,Self_Employed,12689,187413,0,Non-Graduated,61
87,426,476538,0,2,Self_Employed,169352,53787,1,Non-Graduated,78
93,321,531120,0,1,Self_Employed,117390,64790,1,Graduated,75
50,485,404169,1,1,Employed,10897,130822,1,Graduated,21
18,351,580401,1,1,Employed,162542,133950,0,Non-Graduated,71
24,380,416064,0,2,Self_Employed,88057,25761,1,Graduated,26
46,442,363601,1,1,Employed,48378,152945,0,Graduated,42
83,354,982625,1,2,Employed,22196,62048,1,Non-Graduated,37
32,367,767134,0,0,Self_Employed,37787,192565,0,Non-Graduated,93
43,327,146004,1,2,Employed,164379,195301,1,Non-Graduated,54
89,303,146725,1,2,Self_Employed,64380,86464,1,Graduated,99
55,357,489384,1,2,Employed,10263,75389,1,Non-Graduated,23
50,495,585079,1,2,Self_Employed,192388,181333,0,Non-Graduated,87
91,368,437698,0,2,Self_Employed,106911,30036,1,Graduated,60
93,373,97381,1,2,Self_Employed,144510,96441,1,Non-Graduated,65
46,343,774598,1,0,Self_Employed,77864,67707,1,Graduated,76
37,423,689880,0,1,Employed,90884,112165,1,Non-Graduated,50
54,356,775164,1,0,Employed,47958,97846,0,Non-Graduated,58
20,446,687388,0,0,Self_Employed,135456,11525,1,Graduated,22
57,427,864054,1,2,Employed,93618,161883,0,Non-Graduated,72
77,402,728891,1,2,Employed,63212,119150,1,Graduated,80
77,305,437771,0,1,Self_Employed,75856,169174,0,Graduated,82
31,400,920441,1,2,Employed,198376,62550,1,Non-Graduated,22
20,342,320047,0,2,Employed,167593,143212,1,Non-Graduated,45
56,384,854976,0,0,Employed,95215,111170,0,Non-Graduated,69
49,452,914394,0,2,Employed,61353,84713,1,Non-Graduated,76
85,394,295027,0,0,Employed,90927,113600,0,Graduated,47
91,338,231581,0,2,Employed,183773,22742,0,Non-Graduated,26
24,386,973568,1,0,Employed,42241,161286,1,Graduated,35
79,324,995673,0,1,Employed,169942,67361,1,Graduated,93
18,430,731228,1,2,Employed,25604,146579,1,Graduated,80
36,480,744462,0,2,Self_Employed,152050,194421,0,Graduated,73
96,484,443935,0,1,Self_Employed,155925,27735,0,Non-Graduated,50
74,459,233022,0,0,Self_Employed,170137,154159,0,Non-Graduated,88
77,461,330006,1,1,Employed,128859,194304,0,Graduated,52
84,392,47075,0,1,Employed,14443,145923,0,Graduated,97
55,365,877851,1,0,Employed,89713,97045,0,Non-Graduated,99
61,351,391563,1,0,Self_Employed,26659,22864,1,Graduated,65
54,425,128165,0,1,Self_Employed,115570,139382,1,Graduated,74
84,423,295307,0,2,Employed,76459,143654,1,Graduated,92
23,378,590863,1,0,Employed,149777,63965,1,Non-Graduated,77
95,442,844561,1,2,Self_Employed,191800,66487,0,Graduated,43
24,482,854052,1,2,Employed,171606,163424,1,Non-Graduated,43
72,446,901009,0,0,Self_Employed,153481,176106,1,Non-Graduated,78
50,458,798033,1,2,Self_Employed,83196,42995,1,Non-Graduated,44
50,311,442621,0,2,Self_Employed,144719,189774,1,Non-Graduated,53
95,462,562196,0,0,Employed,61810,17350,1,Non-Graduated,20
27,379,312138,1,0,Self_Employed,54981,68455,0,Graduated,74
51,428,970195,1,2,Employed,97881,76124,1,Graduated,77
56,428,968211,0,0,Self_Employed,144549,114155,1,Graduated,70
97,410,937928,0,1,Self_Employed,68434,177754,1,Non-Graduated,48
98,320,103885,0,1,Employed,79529,199284,1,Non-Graduated,56
98,382,731015,1,0,Self_Employed,167067,89655,0,Non-Graduated,83
94,325,73951,0,2,Employed,128642,115917,0,Non-Graduated,48
67,338,513855,1,1,Self_Employed,184884,156359,1,Graduated,41
60,324,261581,1,1,Employed,71865,66993,1,Non-Graduated,22
58,300,326282,1,2,Self_Employed,91498,109641,0,Non-Graduated,100
84,329,307647,0,0,Employed,102470,103055,1,Graduated,32
64,394,619777,0,1,Employed,21379,17368,1,Non-Graduated,41
40,420,772121,1,2,Self_Employed,51943,72223,0,Non-Graduated,25
100,324,58348,1,2,Employed,152869,29296,0,Non-Graduated,93
34,409,535318,1,0,Employed,121453,132502,1,Graduated,75
44,340,67980,0,0,Employed,148869,146565,0,Graduated,77
26,418,391463,0,2,Employed,140332,103507,0,Graduated,34
100,420,516609,1,0,Employed,77287,69102,0,Graduated,40
96,321,545787,1,1,Employed,151917,59059,0,Graduated,55
37,432,479998,0,2,Self_Employed,74533,179384,0,Non-Graduated,82
42,393,888388,0,1,Self_Employed,192139,59341,1,Non-Graduated,24
45,431,407629,1,2,Self_Employed,185346,104249,1,Graduated,55
39,482,454327,1,0,Employed,60672,26084,0,Graduated,41
80,398,17597,0,1,Employed,119637,85526,0,Graduated,38
60,318,935643,0,0,Employed,51897,50351,1,Graduated,80
26,400,229481,1,0,Employed,165925,174908,1,Graduated,25
33,452,765889,0,0,Self_Employed,108651,191500,0,Graduated,99
89,411,514326,0,1,Self_Employed,81467,70394,1,Non-Graduated,79
92,358,685302,1,2,Employed,136416,119071,1,Non-Graduated,87
92,414,344076,1,1,Self_Employed,38175,36911,1,Non-Graduated,54
